Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;0101;Halden;;;A;Det norske Arbeiderparti;31,7;23282;643;3836;4479;-11,9;-9,8;16;0;
01;Østfold;0101;Halden;;;SV;Sosialistisk Venstreparti;3,8;23282;70;465;535;-3,6;-1,4;2;0;
01;Østfold;0101;Halden;;;RØDT;Rødt;1,2;23282;27;148;175;-1,1;0,2;0;0;
01;Østfold;0101;Halden;;;SP;Senterpartiet;4,5;23282;51;583;634;-0,5;-0,1;2;0;
01;Østfold;0101;Halden;;;KRF;Kristelig Folkeparti;4,7;23282;110;550;660;-2,7;-1,5;2;0;
01;Østfold;0101;Halden;;;V;Venstre;5,7;23282;108;697;805;2,1;3,1;3;0;
01;Østfold;0101;Halden;;;H;Høyre;34,4;23282;520;4339;4859;24;22,1;18;0;
01;Østfold;0101;Halden;;;FRP;Fremskrittspartiet;8,4;23282;206;979;1185;-7,5;-16;4;0;
01;Østfold;0101;Halden;;;DEMN;Demokratene i Norge;0,2;23282;2;28;30;0;0,1;0;0;
01;Østfold;0101;Halden;;;MDG;Miljøpartiet De Grønne;2,8;23282;47;346;393;-0,1;2,2;1;0;
01;Østfold;0101;Halden;;;PP;Pensjonistpartiet;1,4;23282;46;145;191;-0,1;0,3;1;0;
01;Østfold;0101;Halden;;;VV;Vårt Valg;1,3;23282;18;161;179;1,3;1,3;0;0;
01;Østfold;0104;Moss;;;A;Det norske Arbeiderparti;34,9;23840;1102;4089;5191;-5;-3,8;14;0;
01;Østfold;0104;Moss;;;SV;Sosialistisk Venstreparti;3,5;23840;107;417;524;-2,3;-2,9;1;0;
01;Østfold;0104;Moss;;;RØDT;Rødt;3,3;23840;83;413;496;-0,3;2;1;0;
01;Østfold;0104;Moss;;;KRF;Kristelig Folkeparti;2,6;23840;68;316;384;-0,4;-0,1;1;0;
01;Østfold;0104;Moss;;;V;Venstre;4,3;23840;84;561;645;-0,1;1,2;2;0;
01;Østfold;0104;Moss;;;H;Høyre;37,3;23840;962;4573;5535;15,8;17,7;15;0;
01;Østfold;0104;Moss;;;FRP;Fremskrittspartiet;12;23840;358;1426;1784;-7,2;-13,7;5;0;
01;Østfold;0104;Moss;;;MDG;Miljøpartiet De Grønne;0,6;23840;24;66;90;0,6;0,3;0;0;
01;Østfold;0104;Moss;;;PP;Pensjonistpartiet;1,4;23840;44;160;204;-1;0,6;0;0;
01;Østfold;0105;Sarpsborg;;;A;Det norske Arbeiderparti;48,1;41307;1493;9628;11121;-0,6;3,7;21;0;
01;Østfold;0105;Sarpsborg;;;SV;Sosialistisk Venstreparti;2,1;41307;106;382;488;-1,1;-1,3;1;0;
01;Østfold;0105;Sarpsborg;;;RØDT;Rødt;0,5;41307;11;96;107;-0,2;0;0;0;
01;Østfold;0105;Sarpsborg;;;SP;Senterpartiet;3,2;41307;57;691;748;-0,5;0;1;0;
01;Østfold;0105;Sarpsborg;;;KRF;Kristelig Folkeparti;5,8;41307;196;1150;1346;-0,8;0,1;3;0;
01;Østfold;0105;Sarpsborg;;;V;Venstre;2,7;41307;88;537;625;0,2;0,9;1;0;
01;Østfold;0105;Sarpsborg;;;H;Høyre;20,6;41307;576;4193;4769;9,3;8,6;9;0;
01;Østfold;0105;Sarpsborg;;;FRP;Fremskrittspartiet;14;41307;436;2794;3230;-5,5;-13,1;6;0;
01;Østfold;0105;Sarpsborg;;;DEMN;Demokratene i Norge;0,2;41307;4;48;52;0,2;0,2;0;0;
01;Østfold;0105;Sarpsborg;;;KSP;Kristent Samlingsparti;0,2;41307;6;43;49;0;0;0;0;
01;Østfold;0105;Sarpsborg;;;PP;Pensjonistpartiet;2,5;41307;96;478;574;-1;1,3;1;0;
01;Østfold;0106;Fredrikstad;;;A;Det norske Arbeiderparti;49,2;58599;2693;14951;17644;16,4;6,5;26;0;
01;Østfold;0106;Fredrikstad;;;SV;Sosialistisk Venstreparti;3;58599;212;868;1080;-1,6;-1,9;2;0;
01;Østfold;0106;Fredrikstad;;;RØDT;Rødt;0,7;58599;44;192;236;-0,2;-0,1;0;0;
01;Østfold;0106;Fredrikstad;;;SP;Senterpartiet;1,9;58599;59;608;667;-0,3;-0,2;1;0;
01;Østfold;0106;Fredrikstad;;;KRF;Kristelig Folkeparti;4,3;58599;252;1274;1526;-0,5;-1;2;0;
01;Østfold;0106;Fredrikstad;;;V;Venstre;2,9;58599;176;875;1051;-0,4;0,4;2;0;
01;Østfold;0106;Fredrikstad;;;H;Høyre;20;58599;1057;6111;7168;6,8;4,7;11;0;
01;Østfold;0106;Fredrikstad;;;FRP;Fremskrittspartiet;13,9;58599;824;4148;4972;-17,3;-10,8;7;0;
01;Østfold;0106;Fredrikstad;;;KSP;Kristent Samlingsparti;0,2;58599;8;48;56;0;0;0;0;
01;Østfold;0106;Fredrikstad;;;KYST;Kystpartiet;0,2;58599;4;67;71;0,1;0,1;0;0;
01;Østfold;0106;Fredrikstad;;;PP;Pensjonistpartiet;1,9;58599;108;556;664;-0,8;0,8;1;0;
01;Østfold;0106;Fredrikstad;;;BYMILJØ;Bymiljølista;1,6;58599;113;465;578;-0,4;1,6;1;0;
01;Østfold;0106;Fredrikstad;;;FS;Folkets stemme;0,4;58599;15;124;139;-1,7;0,4;0;0;
01;Østfold;0111;Hvaler;;;A;Det norske Arbeiderparti;28,2;3419;133;543;676;-5,5;-8,8;6;0;
01;Østfold;0111;Hvaler;;;SV;Sosialistisk Venstreparti;6,7;3419;36;125;161;0,4;1,1;1;0;
01;Østfold;0111;Hvaler;;;SP;Senterpartiet;3,3;3419;19;61;80;-1,1;1;1;0;
01;Østfold;0111;Hvaler;;;V;Venstre;5,1;3419;19;103;122;1,3;2,2;1;0;
01;Østfold;0111;Hvaler;;;H;Høyre;24,7;3419;125;467;592;3,1;6,4;5;0;
01;Østfold;0111;Hvaler;;;FRP;Fremskrittspartiet;32,1;3419;151;619;770;4,7;4;7;0;
01;Østfold;0118;Aremark;;;A;Det norske Arbeiderparti;25,9;1102;32;171;203;-7,4;-6;4;0;
01;Østfold;0118;Aremark;;;SP;Senterpartiet;34,7;1102;20;252;272;11,2;16,5;6;0;
01;Østfold;0118;Aremark;;;KRF;Kristelig Folkeparti;15,2;1102;23;96;119;-10,6;4,1;3;0;
01;Østfold;0118;Aremark;;;V;Venstre;10,2;1102;8;72;80;10,2;8,9;2;0;
01;Østfold;0118;Aremark;;;H;Høyre;13,9;1102;15;94;109;4,3;3,2;2;0;
01;Østfold;0119;Marker;;;A;Det norske Arbeiderparti;47;2924;147;737;884;-8,1;10;12;0;
01;Østfold;0119;Marker;;;SP;Senterpartiet;22,4;2924;55;367;422;4,3;6,7;6;0;
01;Østfold;0119;Marker;;;KRF;Kristelig Folkeparti;12,9;2924;30;213;243;-4,6;-0,6;3;0;
01;Østfold;0119;Marker;;;H;Høyre;13,5;2924;23;231;254;4,2;3,2;3;0;
01;Østfold;0119;Marker;;;FRP;Fremskrittspartiet;4,2;2924;15;64;79;4,2;-14,1;1;0;
01;Østfold;0121;Rømskog;;;A;Det norske Arbeiderparti;27,8;543;20;100;120;-11,7;-8,3;4;0;
01;Østfold;0121;Rømskog;;;SP;Senterpartiet;31,9;543;33;105;138;6,9;20,5;4;0;
01;Østfold;0121;Rømskog;;;KRF;Kristelig Folkeparti;31,5;543;16;120;136;3;3,8;4;0;
01;Østfold;0121;Rømskog;;;FRP;Fremskrittspartiet;8,8;543;11;27;38;1,8;-8,3;1;0;
01;Østfold;0122;Trøgstad;;;A;Det norske Arbeiderparti;25,9;4034;115;522;637;1,1;-3,1;6;0;
01;Østfold;0122;Trøgstad;;;SP;Senterpartiet;35,5;4034;122;753;875;8,8;18;8;0;
01;Østfold;0122;Trøgstad;;;KRF;Kristelig Folkeparti;5,8;4034;46;96;142;-1,4;-0,8;1;0;
01;Østfold;0122;Trøgstad;;;V;Venstre;2,8;4034;13;57;70;-5,2;0,5;0;0;
01;Østfold;0122;Trøgstad;;;H;Høyre;15,6;4034;62;322;384;5,6;2,1;3;0;
01;Østfold;0122;Trøgstad;;;FRP;Fremskrittspartiet;14,4;4034;59;295;354;-6;-13,1;3;0;
01;Østfold;0123;Spydeberg;;;A;Det norske Arbeiderparti;24,4;4063;82;546;628;5,2;-4,7;5;0;
01;Østfold;0123;Spydeberg;;;SV;Sosialistisk Venstreparti;2,8;4063;14;59;73;-1,6;-1,1;0;0;
01;Østfold;0123;Spydeberg;;;SP;Senterpartiet;18,9;4063;62;425;487;-7,5;5,5;4;0;
01;Østfold;0123;Spydeberg;;;KRF;Kristelig Folkeparti;11,2;4063;65;224;289;2,8;3,4;3;0;
01;Østfold;0123;Spydeberg;;;V;Venstre;6,3;4063;15;147;162;-1,9;3,3;1;0;
01;Østfold;0123;Spydeberg;;;H;Høyre;22,5;4063;73;508;581;8;6,7;5;0;
01;Østfold;0123;Spydeberg;;;FRP;Fremskrittspartiet;13,9;4063;47;311;358;-5;-11,8;3;0;
01;Østfold;0124;Askim;;;A;Det norske Arbeiderparti;36,2;11634;513;1887;2400;1,6;-0,1;13;0;
01;Østfold;0124;Askim;;;SV;Sosialistisk Venstreparti;3,1;11634;44;159;203;-1,1;-0,6;1;0;
01;Østfold;0124;Askim;;;SP;Senterpartiet;4,2;11634;42;234;276;-0,6;-1,3;1;0;
01;Østfold;0124;Askim;;;KRF;Kristelig Folkeparti;6,1;11634;92;310;402;-0,4;0,2;2;0;
01;Østfold;0124;Askim;;;V;Venstre;3,3;11634;41;181;222;-2,1;0,8;1;0;
01;Østfold;0124;Askim;;;H;Høyre;31,4;11634;322;1759;2081;12;15,3;11;0;
01;Østfold;0124;Askim;;;FRP;Fremskrittspartiet;11,4;11634;186;570;756;-8;-16,7;4;0;
01;Østfold;0124;Askim;;;ASKIMP;Askimpartiet;4,4;11634;48;246;294;-1,4;4,4;2;0;
01;Østfold;0125;Eidsberg;;;A;Det norske Arbeiderparti;20,2;8490;197;819;1016;-4;-11,6;7;0;
01;Østfold;0125;Eidsberg;;;SV;Sosialistisk Venstreparti;2,6;8490;37;96;133;-2,3;-1;1;0;
01;Østfold;0125;Eidsberg;;;SP;Senterpartiet;14,4;8490;115;608;723;-9,4;3;5;0;
01;Østfold;0125;Eidsberg;;;KRF;Kristelig Folkeparti;5,9;8490;50;246;296;-1,5;-0,9;2;0;
01;Østfold;0125;Eidsberg;;;V;Venstre;6,2;8490;58;255;313;-1,5;2,9;2;0;
01;Østfold;0125;Eidsberg;;;H;Høyre;43,1;8490;339;1829;2168;30,3;28,8;15;0;
01;Østfold;0125;Eidsberg;;;FRP;Fremskrittspartiet;7,6;8490;81;302;383;-11,6;-19,9;3;0;
01;Østfold;0127;Skiptvet;;;A;Det norske Arbeiderparti;46,1;2698;104;650;754;13,6;14,9;9;0;
01;Østfold;0127;Skiptvet;;;SP;Senterpartiet;20;2698;34;293;327;-13,1;4,6;4;0;
01;Østfold;0127;Skiptvet;;;KRF;Kristelig Folkeparti;8,7;2698;25;117;142;-2,1;0;2;0;
01;Østfold;0127;Skiptvet;;;H;Høyre;17,1;2698;40;240;280;4,3;6,7;4;0;
01;Østfold;0127;Skiptvet;;;FRP;Fremskrittspartiet;8,2;2698;15;119;134;-2,8;-20,8;2;0;
01;Østfold;0128;Rakkestad;;;A;Det norske Arbeiderparti;24,5;5919;102;745;847;2,7;-7,8;6;0;
01;Østfold;0128;Rakkestad;;;SV;Sosialistisk Venstreparti;1,6;5919;6;48;54;0,3;-0,5;0;0;
01;Østfold;0128;Rakkestad;;;SP;Senterpartiet;26;5919;94;802;896;3,4;8,2;7;0;
01;Østfold;0128;Rakkestad;;;KRF;Kristelig Folkeparti;13,9;5919;67;414;481;-7,3;2,3;4;0;
01;Østfold;0128;Rakkestad;;;V;Venstre;15,9;5919;45;505;550;1;13,1;4;0;
01;Østfold;0128;Rakkestad;;;H;Høyre;8,7;5919;53;246;299;3,2;-1,9;2;0;
01;Østfold;0128;Rakkestad;;;FRP;Fremskrittspartiet;9,4;5919;41;284;325;-3,3;-12,2;2;0;
01;Østfold;0135;Råde;;;A;Det norske Arbeiderparti;26,7;5443;153;832;985;-8,5;-4,6;7;0;
01;Østfold;0135;Råde;;;SP;Senterpartiet;11,7;5443;46;386;432;2,5;4,1;3;0;
01;Østfold;0135;Råde;;;KRF;Kristelig Folkeparti;8,4;5443;45;263;308;-2,1;-0,4;2;0;
01;Østfold;0135;Råde;;;V;Venstre;10,1;5443;47;326;373;7,9;7,7;3;0;
01;Østfold;0135;Råde;;;H;Høyre;22,3;5443;85;736;821;8,5;6,5;6;0;
01;Østfold;0135;Råde;;;FRP;Fremskrittspartiet;20,9;5443;132;637;769;-5,9;-9;6;0;
01;Østfold;0136;Rygge;;;A;Det norske Arbeiderparti;31,2;11215;392;1802;2194;2,6;-4,6;8;0;
01;Østfold;0136;Rygge;;;SV;Sosialistisk Venstreparti;4,6;11215;65;258;323;-1,6;0;1;0;
01;Østfold;0136;Rygge;;;SP;Senterpartiet;2,8;11215;30;170;200;-0,7;-0,4;1;0;
01;Østfold;0136;Rygge;;;KRF;Kristelig Folkeparti;5,2;11215;62;306;368;1,2;1,9;1;0;
01;Østfold;0136;Rygge;;;V;Venstre;10,2;11215;77;642;719;5,2;7,7;3;0;
01;Østfold;0136;Rygge;;;H;Høyre;27,7;11215;321;1624;1945;9,6;7,9;8;0;
01;Østfold;0136;Rygge;;;FRP;Fremskrittspartiet;14,4;11215;200;810;1010;-16,6;-14,5;4;0;
01;Østfold;0136;Rygge;;;MDG;Miljøpartiet De Grønne;0,6;11215;8;31;39;0,6;0,3;0;0;
01;Østfold;0136;Rygge;;;PP;Pensjonistpartiet;3,4;11215;34;202;236;0,2;2,7;1;0;
01;Østfold;0137;Våler;;;A;Det norske Arbeiderparti;16,8;3464;50;307;357;-1,6;-10,5;4;0;
01;Østfold;0137;Våler;;;SV;Sosialistisk Venstreparti;3;3464;7;56;63;-1,1;0,2;0;0;
01;Østfold;0137;Våler;;;SP;Senterpartiet;26,6;3464;53;511;564;4,9;15,9;6;0;
01;Østfold;0137;Våler;;;KRF;Kristelig Folkeparti;7,1;3464;15;135;150;-4,2;1,1;2;0;
01;Østfold;0137;Våler;;;V;Venstre;2,2;3464;3;44;47;2,2;0,3;0;0;
01;Østfold;0137;Våler;;;H;Høyre;25,1;3464;37;495;532;7,9;8,9;5;0;
01;Østfold;0137;Våler;;;FRP;Fremskrittspartiet;19,2;3464;37;369;406;-8,2;-14,1;4;0;
01;Østfold;0138;Hobøl;;;A;Det norske Arbeiderparti;30,3;3698;93;608;701;6,8;-0,6;6;0;
01;Østfold;0138;Hobøl;;;SP;Senterpartiet;9,2;3698;24;190;214;-0,6;0,7;2;0;
01;Østfold;0138;Hobøl;;;KRF;Kristelig Folkeparti;6;3698;19;121;140;-2,9;-0,7;1;0;
01;Østfold;0138;Hobøl;;;V;Venstre;13,3;3698;26;282;308;0,1;9,1;3;0;
01;Østfold;0138;Hobøl;;;H;Høyre;18,5;3698;38;391;429;6,5;4,4;4;0;
01;Østfold;0138;Hobøl;;;FRP;Fremskrittspartiet;22,7;3698;58;467;525;-9,9;-7;5;0;
02;Akershus;0211;Vestby;;;A;Det norske Arbeiderparti;31,2;11112;403;1945;2348;0,2;-2,6;11;0;
02;Akershus;0211;Vestby;;;SV;Sosialistisk Venstreparti;4,8;11112;48;312;360;-1,4;-1,8;2;0;
02;Akershus;0211;Vestby;;;RØDT;Rødt;0,8;11112;10;50;60;-1;-0,1;0;0;
02;Akershus;0211;Vestby;;;SP;Senterpartiet;5,9;11112;64;381;445;-1,9;1,6;2;0;
02;Akershus;0211;Vestby;;;KRF;Kristelig Folkeparti;3;11112;34;188;222;-0,3;0,1;1;0;
02;Akershus;0211;Vestby;;;V;Venstre;6,1;11112;60;398;458;-0,8;1,6;2;0;
02;Akershus;0211;Vestby;;;H;Høyre;38,2;11112;396;2480;2876;12,6;18,8;14;0;
02;Akershus;0211;Vestby;;;FRP;Fremskrittspartiet;9,1;11112;152;535;687;-8,4;-17,2;3;0;
02;Akershus;0211;Vestby;;;MDG;Miljøpartiet De Grønne;0,9;11112;14;55;69;0,9;0,5;0;0;
02;Akershus;0213;Ski;;;A;Det norske Arbeiderparti;32,2;21445;878;3707;4585;2,8;-3,3;13;0;
02;Akershus;0213;Ski;;;SV;Sosialistisk Venstreparti;4,3;21445;113;501;614;-2,6;-2,3;2;0;
02;Akershus;0213;Ski;;;RØDT;Rødt;1,4;21445;35;171;206;-0,4;0,4;0;0;
02;Akershus;0213;Ski;;;SP;Senterpartiet;2,5;21445;54;308;362;-1,1;-0,2;1;0;
02;Akershus;0213;Ski;;;KRF;Kristelig Folkeparti;3,4;21445;90;399;489;-0,6;0;1;0;
02;Akershus;0213;Ski;;;V;Venstre;6,5;21445;153;774;927;1;2,1;3;0;
02;Akershus;0213;Ski;;;H;Høyre;35,5;21445;752;4296;5048;7,7;14,4;15;0;
02;Akershus;0213;Ski;;;FRP;Fremskrittspartiet;10,7;21445;270;1257;1527;-7;-13,2;5;0;
02;Akershus;0213;Ski;;;MDG;Miljøpartiet De Grønne;1,1;21445;24;139;163;1,1;0,9;0;0;
02;Akershus;0213;Ski;;;PP;Pensjonistpartiet;2,2;21445;79;239;318;-1;1,4;1;0;
02;Akershus;0214;Ås;;;A;Det norske Arbeiderparti;30,5;12331;405;2051;2456;-0,5;-3,1;10;0;
02;Akershus;0214;Ås;;;SV;Sosialistisk Venstreparti;9,1;12331;159;573;732;-2,7;-0,6;3;0;
02;Akershus;0214;Ås;;;SP;Senterpartiet;9,2;12331;107;632;739;-3,2;1,4;3;0;
02;Akershus;0214;Ås;;;KRF;Kristelig Folkeparti;3,9;12331;66;250;316;-0,6;0;1;0;
02;Akershus;0214;Ås;;;V;Venstre;9,7;12331;112;670;782;2;4,4;3;0;
02;Akershus;0214;Ås;;;H;Høyre;24,9;12331;243;1761;2004;9,3;7,8;8;0;
02;Akershus;0214;Ås;;;FRP;Fremskrittspartiet;10,4;12331;109;728;837;-4,7;-10,2;4;0;
02;Akershus;0214;Ås;;;MDG;Miljøpartiet De Grønne;2,4;12331;31;166;197;2,4;1,9;1;0;
02;Akershus;0215;Frogn;;;A;Det norske Arbeiderparti;23,6;11459;435;1420;1855;5,5;-6,6;7;0;
02;Akershus;0215;Frogn;;;SV;Sosialistisk Venstreparti;5,1;11459;76;324;400;-2,8;-1;2;0;
02;Akershus;0215;Frogn;;;SP;Senterpartiet;3,5;11459;41;238;279;0,4;0,9;1;0;
02;Akershus;0215;Frogn;;;KRF;Kristelig Folkeparti;6,9;11459;136;409;545;1,8;5;2;0;
02;Akershus;0215;Frogn;;;V;Venstre;16;11459;242;1016;1258;-0,8;10,8;5;0;
02;Akershus;0215;Frogn;;;H;Høyre;31,5;11459;498;1982;2480;0,2;5,5;10;0;
02;Akershus;0215;Frogn;;;FRP;Fremskrittspartiet;8,5;11459;148;519;667;-5,2;-17,1;3;0;
02;Akershus;0215;Frogn;;;PP;Pensjonistpartiet;4,8;11459;85;295;380;1,7;3,9;1;0;
02;Akershus;0216;Nesodden;;;A;Det norske Arbeiderparti;27,6;13264;695;1855;2550;7,6;-5,1;9;0;
02;Akershus;0216;Nesodden;;;SV;Sosialistisk Venstreparti;16,9;13264;459;1103;1562;-7,5;2,4;5;0;
02;Akershus;0216;Nesodden;;;RØDT;Rødt;5,8;13264;127;408;535;-0,1;2,9;2;0;
02;Akershus;0216;Nesodden;;;SP;Senterpartiet;0,6;13264;18;40;58;-0,8;-1;0;0;
02;Akershus;0216;Nesodden;;;KRF;Kristelig Folkeparti;4,4;13264;100;307;407;-2,2;0,9;1;0;
02;Akershus;0216;Nesodden;;;V;Venstre;6,3;13264;112;467;579;0;-0,5;2;0;
02;Akershus;0216;Nesodden;;;H;Høyre;27,1;13264;624;1881;2505;6,6;9,7;8;0;
02;Akershus;0216;Nesodden;;;FRP;Fremskrittspartiet;6,1;13264;151;414;565;-5,3;-12,4;2;0;
02;Akershus;0216;Nesodden;;;DEMN;Demokratene i Norge;0,3;13264;8;16;24;-0,2;0,2;0;0;
02;Akershus;0216;Nesodden;;;MDG;Miljøpartiet De Grønne;5;13264;129;333;462;1,8;3,6;2;0;
02;Akershus;0217;Oppegård;;;A;Det norske Arbeiderparti;25,3;19140;671;2806;3477;3,7;-6,2;8;0;
02;Akershus;0217;Oppegård;;;SV;Sosialistisk Venstreparti;4,7;19140;119;527;646;-1,5;-1,6;2;0;
